reason,object_type,object_kind,object_status,card_id,card_full_name,card_type,set_code,collector_number,ability_id,ability_kind,ability_name,ability_status
mapped_not_executable,ability,static,mapped_not_executable,Z2D,Tamatoa - So Shiny!,character,001,159,sj3-2,static,GLAM,mapped_not_executable
unsupported_engine_mechanic,ability,action,unsupported_engine_mechanic,mkJ,Steal from the Rich,action,001,97,ability,action,,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,create-triggered-ability,unsupported_engine_mechanic,mkJ,Steal from the Rich,action,001,97,ability,action,,unsupported_engine_mechanic
mapped_not_executable,ability,replacement,mapped_not_executable,sLs,Beast - Selfless Protector,character,002,172,sLs-1,replacement,SHIELD ANOTHER,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,xGr,Cogsworth - Talking Clock,character,002,143,y7r-1,static,WAIT A MINUTE,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,2q9,Donald Duck - Not Again!,character,002,106,1mm-2,static,PHOOEY!,mapped_not_executable
unsupported_choice,ability,triggered,unsupported_choice,fS0,Donald Duck - Perfect Gentleman,character,002,77,wjj-3,triggered,ALLOW ME,unsupported_choice
unsupported_choice,effect,optional,unsupported_choice,fS0,Donald Duck - Perfect Gentleman,character,002,77,wjj-3,triggered,ALLOW ME,unsupported_choice
unsupported_choice,ability,triggered,unsupported_choice,h4L,Lady Tremaine - Imperious Queen,character,002,110,2qj-2,triggered,POWER TO RULE AT LAST,unsupported_choice
unsupported_choice,effect,for-each-opponent,unsupported_choice,h4L,Lady Tremaine - Imperious Queen,character,002,110,2qj-2,triggered,POWER TO RULE AT LAST,unsupported_choice
unsupported_choice,ability,triggered,unsupported_choice,SlK,Lady Tremaine - Imperious Queen,character,002,211,2qj-2,triggered,POWER TO RULE AT LAST,unsupported_choice
unsupported_choice,effect,for-each-opponent,unsupported_choice,SlK,Lady Tremaine - Imperious Queen,character,002,211,2qj-2,triggered,POWER TO RULE AT LAST,unsupported_choice
unsupported_engine_mechanic,ability,triggered,unsupported_engine_mechanic,B8N,Lady Tremaine - Overbearing Matriarch,character,002,111,r0v-1,triggered,NOT FOR YOU,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,for-each-opponent,unsupported_engine_mechanic,B8N,Lady Tremaine - Overbearing Matriarch,character,002,111,r0v-1,triggered,NOT FOR YOU,unsupported_engine_mechanic
unsupported_choice,ability,triggered,unsupported_choice,NN3,Lucifer - Cunning Cat,character,002,85,oq4-1,triggered,MOUSE CATCHER,unsupported_choice
unsupported_choice,effect,choice,unsupported_choice,NN3,Lucifer - Cunning Cat,character,002,85,oq4-1,triggered,MOUSE CATCHER,unsupported_choice
